atomicNumber,symbol,name,atomicMass,electronicConfiguration,electronegativity,atomicRadius,ionizationEnergy,electronAffinity,yearDiscovered,gno,pno,bname
19," K "," Potassium"," 39.0983(1)","[Ar] 4s1 ",0.82,196,419,-48,1807,NULL,NULL,
20," Ca "," Calcium"," 40.078(4)","[Ar] 4s2 ",1,174,590,-2,0,NULL,NULL,
21," Sc "," Scandium"," 44.955912(6)","[Ar] 3d1 4s2 ",1.36,144,633,-18,1876,NULL,NULL,
22," Ti "," Titanium"," 47.867(1)","[Ar] 3d2 4s2 ",1.54,136,659,-8,1791,NULL,NULL,
23," V "," Vanadium"," 50.9415(1)","[Ar] 3d3 4s2 ",1.63,125,651,-51,1803,NULL,NULL,
24," Cr "," Chromium"," 51.9961(6)","[Ar] 3d5 4s1 ",1.66,127,653,-64,0,NULL,NULL,
25," Mn "," Manganese"," 54.938045(5)","[Ar] 3d5 4s2 ",1.55,139,717,0,1774,NULL,NULL,
26," Fe "," Iron"," 55.845(2)","[Ar] 3d6 4s2 ",1.83,125,763,-16,0,NULL,NULL,
27," Co "," Cobalt"," 58.933195(5)","[Ar] 3d7 4s2 ",1.88,126,760,-64,0,NULL,NULL,
28," Ni "," Nickel"," 58.6934(4)","[Ar] 3d8 4s2 ",1.91,121,737,-112,1751,NULL,NULL,
29," Cu "," Copper"," 63.546(3)","[Ar] 3d10 4s1 ",1.9,138,746,-118,0,NULL,NULL,
30," Zn "," Zinc"," 65.38(2)","[Ar] 3d10 4s2 ",1.65,131,906,0,1746,NULL,NULL,
31," Ga "," Gallium"," 69.723(1)","[Ar] 3d10 4s2 4p1 ",1.81,126,579,-29,1875,NULL,NULL,
32," Ge "," Germanium"," 72.64(1)","[Ar] 3d10 4s2 4p2 ",2.01,122,762,-119,1886,NULL,NULL,
33," As "," Arsenic"," 74.92160(2)","[Ar] 3d10 4s2 4p3 ",2.18,119,947,-78,0,NULL,NULL,
34," Se "," Selenium"," 78.96(3)","[Ar] 3d10 4s2 4p4 ",2.55,116,941,-195,1817,NULL,NULL,
35," Br "," Bromine"," 79.904(1)","[Ar] 3d10 4s2 4p5 ",2.96,114,1140,-325,1826,NULL,NULL,
36," Kr "," Krypton"," 83.798(2)","[Ar] 3d10 4s2 4p6 ",,110,1351,0,1898,NULL,NULL,
37," Rb "," Rubidium"," 85.4678(3)","[Kr] 5s1 ",0.82,211,403,-47,1861,NULL,NULL,
38," Sr "," Strontium"," 87.62(1)","[Kr] 5s2 ",0.95,192,550,-5,1790,NULL,NULL,
39," Y "," Yttrium"," 88.90585(2)","[Kr] 4d1 5s2 ",1.22,162,600,-30,1794,NULL,NULL,
40," Zr "," Zirconium"," 91.224(2)","[Kr] 4d2 5s2 ",1.33,148,640,-41,1789,NULL,NULL,
